BlockNumber, TaskNumber, EmotionalExpression, PositionExpression, NeutralAvatar, ReactionTime, ResponsePosition
5,3,happy,right,old,0,right
5,2,happy,right,old,0,right
5,1,happy,right,old,0,right
5,0,sad,right,young,1.273148,left
4,4,afraid,left,young,1.273148,right
4,3,afraid,left,young,1.273148,right
4,2,sad,right,young,1.133266,left
4,1,angry,left,young,1.133266,right
4,0,angry,left,young,1.133266,right
3,4,happy,right,old,1.133266,right
3,3,afraid,left,young,1.133266,right
3,2,angry,left,young,1.133266,right
3,1,sad,right,young,1.266869,left
3,0,sad,right,young,1.100342,left
2,4,happy,right,old,1.100342,right
2,3,angry,left,young,1.100342,right
2,2,afraid,left,young,1.100342,right
2,1,sad,right,young,0.8308182,left
2,0,happy,right,old,0.8308182,right
1,4,angry,left,young,0.8308182,right
1,3,sad,right,young,0.8304901,left
1,2,angry,left,young,0.8304901,right
1,1,afraid,left,young,0.8304901,right
1,0,afraid,left,young,0.8304901,right
