BlockNumber, TaskNumber, EmotionalExpression, PositionExpression, NeutralAvatar, ReactionTime, ResponsePosition
5,3,afraid,left,young,0,right
5,2,afraid,left,young,0,right
5,1,angry,left,young,0,right
5,0,happy,right,old,0,right
4,4,sad,right,young,1.045168,left
4,3,happy,right,old,1.045168,right
4,2,angry,left,young,0.8786926,left
4,1,happy,right,old,0.8786926,right
4,0,sad,right,young,1.15485,left
3,4,angry,left,young,0.8423233,left
3,3,happy,right,old,0.8423233,right
3,2,angry,left,young,0.8423233,right
3,1,sad,right,young,0.8004265,left
3,0,sad,right,young,0.7443008,left
2,4,angry,left,young,0.7443008,right
2,3,afraid,left,young,0.7443008,right
2,2,sad,right,young,0.7883606,left
2,1,afraid,left,young,0.7883606,right
2,0,angry,left,young,0.7883606,right
1,4,happy,right,old,0.7883606,right
1,3,happy,right,old,0.7530746,left
1,2,afraid,left,young,0.7530746,right
1,1,afraid,left,young,0.7530746,right
1,0,sad,right,young,0.9399109,left
